CompraID,ProveedorID,Fecha_compra,Fecha_facturacion,Fecha_pago,Precio_total,Costo_envio,Aprobacion
8124,105,2015-12-21,2016-01-04,2016-02-16,214.26,3.47,No Aplica
8137,4466,2015-12-22,2016-01-07,2016-02-21,140.55,8.57,No Aplica
8169,388,2015-12-24,2016-01-09,2016-02-16,106.6,4.61,No Aplica
8106,480,2015-12-20,2016-01-12,2016-02-05,137483.78,2935.2,No Aplica
8170,516,2015-12-24,2016-01-07,2016-02-12,15527.25,429.2,No Aplica
8191,2396,2015-12-25,2016-01-08,2016-02-06,234.83,2.3,No Aplica
8150,1128,2015-12-23,2016-01-09,2016-02-19,65403.57,1808.77,No Aplica
8171,1189,2015-12-24,2016-01-09,2016-02-04,132.3,5.29,No Aplica
8172,1273,2015-12-24,2016-01-06,2016-02-15,146.8,15.53,No Aplica
8151,11567,2015-12-23,2016-01-06,2016-02-20,12039.71,398.71,No Aplica
8107,90046,2015-12-20,2016-01-05,2016-02-10,348.72,9.08,No Aplica
8152,1485,2015-12-23,2016-01-08,2016-02-19,5420.41,179.26,No Aplica
8125,2876,2015-12-21,2016-01-08,2016-02-07,105.36,0.5,No Aplica
8153,4380,2015-12-23,2016-01-06,2016-02-12,907.69,41.05,No Aplica
8108,1392,2015-12-20,2016-01-11,2016-02-10,60281.13,1549.81,No Aplica
8126,90047,2015-12-21,2016-01-07,2016-02-21,854.1,16.7,No Aplica
8139,2242,2015-12-22,2016-01-06,2016-02-10,6646.46,127.05,No Aplica
8109,1590,2015-12-20,2016-01-12,2016-02-11,14298.09,408.72,No Aplica
8173,3960,2015-12-24,2016-01-10,2016-02-19,180644.92,5972.45,No Aplica
8192,2555,2015-12-25,2016-01-11,2016-02-17,3506.41,146.86,No Aplica
8140,2450,2015-12-22,2016-01-11,2016-02-11,199.92,10.05,No Aplica
8174,2496,2015-12-24,2016-01-06,2016-02-10,418.8,11.39,No Aplica
8110,3252,2015-12-20,2016-01-09,2016-02-19,56493.23,1300.92,No Aplica
8175,2561,2015-12-24,2016-01-08,2016-02-10,5645.24,218.18,No Aplica
8194,1655,2015-12-25,2016-01-04,2016-02-05,394.04,16.0,No Aplica
8154,17031,2015-12-23,2016-01-06,2016-02-06,1357.24,62.5,No Aplica
8141,90011,2015-12-22,2016-01-11,2016-02-14,226.95,4.88,No Aplica
8176,9744,2015-12-24,2016-01-06,2016-02-12,8610.71,212.93,No Aplica
8155,3924,2015-12-23,2016-01-08,2016-02-15,7079.02,200.02,No Aplica
8195,3950,2015-12-25,2016-01-08,2016-02-07,129.48,3.44,No Aplica
8178,90053,2015-12-24,2016-01-12,2016-02-12,416.64,5.65,No Aplica
8111,17032,2015-12-20,2016-01-10,2016-02-04,185.4,9.5,No Aplica
8142,12546,2015-12-22,2016-01-06,2016-02-19,151890.49,3506.08,No Aplica
8196,4550,2015-12-25,2016-01-07,2016-02-17,98.49,9.65,No Aplica
8112,4692,2015-12-20,2016-01-11,2016-02-06,5336.48,185.93,No Aplica
8156,90032,2015-12-23,2016-01-06,2016-02-11,1044.4,41.13,No Aplica
8143,4848,2015-12-22,2016-01-07,2016-02-06,120.72,13.91,No Aplica
8179,4950,2015-12-24,2016-01-07,2016-02-06,879.42,19.68,No Aplica
8113,8352,2015-12-20,2016-01-08,2016-02-07,6139.47,196.61,No Aplica
8157,9552,2015-12-23,2016-01-10,2016-02-09,68620.75,1591.5,No Aplica
8128,10000,2015-12-21,2016-01-09,2016-02-17,7234.88,218.05,No Aplica
8158,5455,2015-12-23,2016-01-08,2016-02-13,333.6,14.36,No Aplica
8160,4425,2015-12-23,2016-01-06,2016-02-06,193.8,11.38,No Aplica
8159,4425,2015-12-23,2016-01-05,2016-02-13,185155.6,4613.45,No Aplica
8130,5992,2015-12-21,2016-01-10,2016-02-05,892.9,42.4,No Aplica
8144,6213,2015-12-22,2016-01-09,2016-02-04,4821.83,177.5,No Aplica
8180,8112,2015-12-24,2016-01-08,2016-02-06,31015.8,938.79,No Aplica
8161,6215,2015-12-23,2016-01-09,2016-02-10,322.04,9.02,No Aplica
8162,6355,2015-12-23,2016-01-05,2016-02-14,425.1,13.08,No Aplica
8131,6359,2015-12-21,2016-01-10,2016-02-13,1914.01,31.53,No Aplica
8114,6785,2015-12-20,2016-01-08,2016-02-14,5533.18,242.73,No Aplica
8115,10754,2015-12-20,2016-01-10,2016-02-10,20861.33,633.9,No Aplica
8181,17035,2015-12-24,2016-01-05,2016-02-11,80916.64,2703.94,No Aplica
8116,9206,2015-12-20,2016-01-06,2016-02-07,920.39,34.73,No Aplica
8132,7153,2015-12-21,2016-01-04,2016-02-05,15276.52,338.2,No Aplica
8117,90027,2015-12-20,2016-01-11,2016-02-09,364.06,9.27,No Aplica
8197,7154,2015-12-25,2016-01-05,2016-02-14,176.11,12.08,No Aplica
8145,7245,2015-12-22,2016-01-08,2016-02-13,34457.73,943.77,No Aplica
8198,7255,2015-12-25,2016-01-11,2016-02-12,66.33,6.09,No Aplica
8163,7239,2015-12-23,2016-01-08,2016-02-18,7515.38,348.07,No Aplica
8118,10050,2015-12-20,2016-01-06,2016-02-20,621.36,14.08,No Aplica
8199,8004,2015-12-25,2016-01-10,2016-02-20,57738.64,1206.72,No Aplica
8200,660,2015-12-25,2016-01-10,2016-02-10,10819.92,317.76,No Aplica
8182,8150,2015-12-24,2016-01-11,2016-02-05,111.05,3.39,No Aplica
8165,98450,2015-12-23,2016-01-08,2016-02-17,376.36,17.21,No Aplica
8166,8320,2015-12-23,2016-01-08,2016-02-11,2392.18,51.37,No Aplica
8183,3089,2015-12-24,2016-01-06,2016-02-04,4443.66,133.83,No Aplica
8185,2000,2015-12-24,2016-01-05,2016-02-04,12709.58,397.04,No Aplica
8119,8663,2015-12-20,2016-01-11,2016-02-13,196.92,0.93,No Aplica
8201,653,2015-12-25,2016-01-08,2016-02-13,5544.89,303.7,No Aplica
8134,8673,2015-12-21,2016-01-05,2016-02-06,21379.98,571.07,No Aplica
8202,8664,2015-12-25,2016-01-12,2016-02-04,14299.98,349.02,No Aplica
8135,8735,2015-12-21,2016-01-11,2016-02-08,296.47,7.14,No Aplica
8146,90056,2015-12-22,2016-01-06,2016-02-05,988.6,5.04,No Aplica
8120,8920,2015-12-20,2016-01-04,2016-02-06,55.08,3.62,No Aplica
8121,28776,2015-12-20,2016-01-08,2016-02-11,133.26,10.59,No Aplica
8147,9819,2015-12-22,2016-01-05,2016-02-17,7808.74,243.38,No Aplica
8148,8892,2015-12-22,2016-01-09,2016-02-09,11651.54,403.44,No Aplica
8203,9165,2015-12-25,2016-01-07,2016-02-13,59168.69,1683.03,No Aplica
8204,9751,2015-12-25,2016-01-09,2016-02-15,136.32,1.23,No Aplica
8205,90010,2015-12-25,2016-01-04,2016-02-06,176.04,9.41,No Aplica
8187,1587,2015-12-24,2016-01-04,2016-02-16,3441.66,83.57,No Aplica
8149,90024,2015-12-22,2016-01-12,2016-02-21,1126.4,44.36,No Aplica
8188,1601,2015-12-24,2016-01-12,2016-02-07,393.52,22.66,No Aplica
8189,9622,2015-12-24,2016-01-08,2016-02-13,228.96,4.76,No Aplica
8168,9625,2015-12-23,2016-01-06,2016-02-14,8657.44,169.46,No Aplica
8136,3664,2015-12-21,2016-01-11,2016-02-14,20144.32,617.13,No Aplica
8190,9815,2015-12-24,2016-01-06,2016-02-08,21330.38,580.64,No Aplica
8206,90058,2015-12-25,2016-01-09,2016-02-12,186.93,21.04,No Aplica
8234,105,2015-12-29,2016-01-17,2016-02-22,428.52,2.19,No Aplica
8207,4466,2015-12-27,2016-01-19,2016-02-26,3142.33,16.97,No Aplica
8287,287,2016-01-01,2016-01-13,2016-02-18,124.8,0.66,No Aplica
8249,388,2015-12-30,2016-01-11,2016-02-18,2025.4,10.73,No Aplica
8288,480,2016-01-01,2016-01-19,2016-02-18,396606.13,1864.05,Frank Delahunt
8208,516,2015-12-27,2016-01-14,2016-02-21,41823.14,204.93,No Aplica
8209,2396,2015-12-27,2016-01-15,2016-02-13,490.08,2.5,No Aplica
8250,1003,2015-12-30,2016-01-15,2016-02-22,104.1,0.57,No Aplica
8210,1128,2015-12-27,2016-01-15,2016-02-25,298902.89,1494.51,Frank Delahunt
8220,1189,2015-12-28,2016-01-17,2016-02-12,264.6,1.19,No Aplica
8211,1273,2015-12-27,2016-01-16,2016-02-16,1745.29,9.08,No Aplica
8269,11567,2015-12-31,2016-01-19,2016-02-19,62473.56,324.86,No Aplica
8235,90046,2015-12-29,2016-01-17,2016-02-14,1639.2,8.36,No Aplica
8236,1485,2015-12-29,2016-01-12,2016-02-17,45057.22,202.76,No Aplica
8251,2876,2015-12-30,2016-01-11,2016-02-13,52.32,0.28,No Aplica
8270,4380,2015-12-31,2016-01-16,2016-02-14,6129.25,29.42,No Aplica
8252,1392,2015-12-30,2016-01-12,2016-02-11,248369.62,1291.52,No Aplica
8221,90047,2015-12-28,2016-01-17,2016-02-17,2246.19,10.11,No Aplica
8253,2242,2015-12-30,2016-01-16,2016-02-12,23076.33,120.0,No Aplica
8289,1590,2016-01-01,2016-01-12,2016-02-22,31455.1,163.57,No Aplica
8271,3960,2015-12-31,2016-01-14,2016-02-11,954454.16,4581.38,Frank Delahunt
8237,2555,2015-12-29,2016-01-12,2016-02-16,21305.64,106.53,No Aplica
8212,2450,2015-12-27,2016-01-15,2016-02-28,1064.52,5.32,No Aplica
8290,2496,2016-01-01,2016-01-19,2016-02-14,1091.35,5.24,No Aplica
8272,17037,2015-12-31,2016-01-17,2016-02-11,287.88,1.32,No Aplica
8238,3252,2015-12-29,2016-01-18,2016-02-14,238980.15,1194.9,No Aplica
8239,2561,2015-12-29,2016-01-15,2016-02-17,29875.7,143.4,No Aplica
8213,1655,2015-12-27,2016-01-12,2016-02-21,3469.36,18.39,No Aplica
8240,17031,2015-12-29,2016-01-13,2016-02-15,5591.32,28.52,No Aplica
8214,90011,2015-12-27,2016-01-17,2016-02-19,607.68,3.34,No Aplica
8291,9744,2016-01-01,2016-01-17,2016-02-13,16605.64,84.69,No Aplica
8222,90051,2015-12-28,2016-01-17,2016-02-27,1666.44,7.67,No Aplica
8292,90052,2016-01-01,2016-01-11,2016-02-14,480.72,2.55,No Aplica
8273,3924,2015-12-31,2016-01-18,2016-02-15,49644.13,243.26,No Aplica
8274,3950,2015-12-31,2016-01-18,2016-02-21,16.41,0.09,No Aplica
8293,90053,2016-01-01,2016-01-13,2016-02-21,510.86,2.5,No Aplica
8294,17032,2016-01-01,2016-01-17,2016-02-25,1757.16,8.79,No Aplica
8241,12546,2015-12-29,2016-01-16,2016-02-15,559691.95,2910.4,Frank Delahunt
8223,4550,2015-12-28,2016-01-11,2016-02-20,1997.94,8.99,No Aplica
8215,4692,2015-12-27,2016-01-17,2016-02-25,28263.55,132.84,No Aplica
8295,90032,2016-01-01,2016-01-16,2016-02-24,4267.25,21.34,No Aplica
8254,4848,2015-12-30,2016-01-17,2016-02-18,1213.96,5.83,No Aplica
8296,4950,2016-01-01,2016-01-16,2016-02-21,3543.18,18.78,No Aplica
8224,8352,2015-12-28,2016-01-14,2016-02-22,43820.57,197.19,No Aplica
8216,9552,2015-12-27,2016-01-12,2016-02-23,236369.61,1134.57,No Aplica
8242,10000,2015-12-29,2016-01-13,2016-02-20,30967.52,145.55,No Aplica
8275,5455,2015-12-31,2016-01-19,2016-02-28,3850.37,20.79,No Aplica
8255,4425,2015-12-30,2016-01-11,2016-02-14,1460.51,6.72,No Aplica
8276,4425,2015-12-31,2016-01-18,2016-02-28,458222.53,2336.93,Frank Delahunt
8277,5992,2015-12-31,2016-01-13,2016-02-20,5744.89,27.0,No Aplica
8256,6213,2015-12-30,2016-01-18,2016-02-19,28203.48,138.2,No Aplica
8278,8112,2015-12-31,2016-01-15,2016-02-15,158211.28,838.52,No Aplica
8279,6215,2015-12-31,2016-01-13,2016-02-20,2521.03,13.11,No Aplica
8243,6355,2015-12-29,2016-01-14,2016-02-19,1225.58,5.64,No Aplica
8297,6359,2016-01-01,2016-01-14,2016-02-13,3771.17,19.61,No Aplica
8225,6785,2015-12-28,2016-01-15,2016-02-20,36300.57,170.61,No Aplica
8298,10754,2016-01-01,2016-01-15,2016-02-16,164345.2,739.55,No Aplica
8257,17035,2015-12-30,2016-01-13,2016-02-25,467506.21,2477.78,Frank Delahunt
8244,9206,2015-12-29,2016-01-16,2016-02-21,9289.57,45.52,No Aplica
8226,7153,2015-12-28,2016-01-14,2016-02-16,63606.79,324.39,No Aplica
8280,90027,2015-12-31,2016-01-12,2016-02-21,6068.27,27.31,No Aplica
8299,7154,2016-01-01,2016-01-19,2016-02-17,2644.78,13.49,No Aplica
8227,7240,2015-12-28,2016-01-19,2016-02-18,1133.08,5.89,No Aplica
8228,7245,2015-12-28,2016-01-11,2016-02-12,234455.46,1266.06,No Aplica
8217,7255,2015-12-27,2016-01-18,2016-02-16,1320.18,6.6,No Aplica
8229,7239,2015-12-28,2016-01-13,2016-02-13,64359.09,308.92,No Aplica
8300,10050,2016-01-01,2016-01-19,2016-02-22,1883.15,8.66,No Aplica
8258,8004,2015-12-30,2016-01-13,2016-02-17,251425.62,1181.7,Frank Delahunt
8259,660,2015-12-30,2016-01-18,2016-02-26,69321.83,346.61,No Aplica
8301,17033,2016-01-01,2016-01-19,2016-02-13,1234.26,5.8,No Aplica
8245,8150,2015-12-29,2016-01-13,2016-02-26,252.72,1.24,No Aplica
8302,98450,2016-01-01,2016-01-16,2016-02-27,3894.93,19.09,No Aplica
8246,8320,2015-12-29,2016-01-19,2016-02-21,7987.83,43.93,No Aplica
8303,3089,2016-01-01,2016-01-14,2016-02-15,38258.6,175.99,No Aplica
8281,28750,2015-12-31,2016-01-18,2016-02-25,775.08,3.95,No Aplica
8304,2000,2016-01-01,2016-01-17,2016-02-20,62279.51,336.31,No Aplica
8260,8663,2015-12-30,2016-01-11,2016-02-19,196.92,1.04,No Aplica
8247,653,2015-12-29,2016-01-18,2016-02-19,30646.03,156.29,No Aplica
8305,8673,2016-01-01,2016-01-16,2016-02-24,52219.32,261.1,No Aplica
8261,12331,2015-12-30,2016-01-11,2016-02-12,571.2,2.86,No Aplica
8262,8664,2015-12-30,2016-01-12,2016-02-12,70460.06,345.25,No Aplica
8263,8735,2015-12-30,2016-01-12,2016-02-12,1882.26,9.98,No Aplica
8264,90056,2015-12-30,2016-01-16,2016-02-27,10367.3,51.84,No Aplica
8218,8920,2015-12-27,2016-01-18,2016-02-20,906.36,4.89,No Aplica
8230,28776,2015-12-28,2016-01-18,2016-02-22,229.61,1.26,No Aplica
8248,90037,2015-12-29,2016-01-16,2016-02-13,171.3,0.79,No Aplica
8282,9819,2015-12-31,2016-01-16,2016-02-22,40265.24,197.3,No Aplica
8283,8892,2015-12-31,2016-01-19,2016-02-16,47561.83,228.3,No Aplica
8265,9260,2015-12-30,2016-01-18,2016-02-13,423.18,2.12,No Aplica
8219,9165,2015-12-27,2016-01-16,2016-02-26,224355.5,1189.08,No Aplica
8266,9751,2015-12-30,2016-01-17,2016-02-20,272.64,1.47,No Aplica
8267,90010,2015-12-30,2016-01-19,2016-02-13,1338.43,6.02,No Aplica
8231,1587,2015-12-28,2016-01-11,2016-02-27,15804.23,75.86,No Aplica
8268,90024,2015-12-30,2016-01-18,2016-02-18,9399.35,49.82,No Aplica
8306,1601,2016-01-01,2016-01-16,2016-02-15,5288.94,29.09,No Aplica
8284,9622,2015-12-31,2016-01-15,2016-02-17,419.76,2.01,No Aplica
8232,9625,2015-12-28,2016-01-11,2016-02-15,11434.05,51.45,No Aplica
8233,3664,2015-12-28,2016-01-14,2016-02-12,74151.99,385.59,No Aplica
8285,9815,2015-12-31,2016-01-18,2016-02-23,101701.15,518.68,No Aplica
8286,90058,2015-12-31,2016-01-13,2016-02-14,2372.4,12.81,No Aplica
8307,4466,2016-01-03,2016-01-18,2016-02-18,383.35,1.99,No Aplica
8323,388,2016-01-04,2016-01-25,2016-02-23,1364.48,7.1,No Aplica
8308,480,2016-01-03,2016-01-22,2016-02-26,173408.47,832.36,No Aplica
8339,516,2016-01-05,2016-01-21,2016-02-20,29909.78,140.58,No Aplica
8340,2396,2016-01-05,2016-01-26,2016-03-04,245.04,1.13,No Aplica
8324,1265,2016-01-04,2016-01-24,2016-02-24,84.3,0.43,No Aplica
8358,1128,2016-01-06,2016-01-26,2016-02-18,138035.44,690.18,No Aplica
8375,1273,2016-01-07,2016-01-26,2016-03-05,1732.24,8.49,No Aplica
8376,11567,2016-01-07,2016-01-23,2016-02-29,25711.4,131.13,No Aplica
8359,90046,2016-01-06,2016-01-23,2016-02-21,225.48,1.2,No Aplica
8309,1485,2016-01-03,2016-01-18,2016-02-27,24411.92,124.5,No Aplica
8392,4380,2016-01-08,2016-01-19,2016-02-20,4680.02,22.0,No Aplica
8377,1650,2016-01-07,2016-01-22,2016-03-01,297.96,1.46,No Aplica
8360,1392,2016-01-06,2016-01-21,2016-02-25,163665.26,900.16,No Aplica
8341,90047,2016-01-05,2016-01-26,2016-02-22,3691.11,18.09,No Aplica
8378,2242,2016-01-07,2016-01-22,2016-02-22,26696.84,136.15,No Aplica
8325,1590,2016-01-04,2016-01-18,2016-02-28,18373.15,95.54,No Aplica
8310,3960,2016-01-03,2016-01-19,2016-02-23,489727.12,2350.69,Frank Delahunt
