InventoryId,Store,Brand,Description,Size,VendorNumber,VendorName,PONumber,PODate,ReceivingDate,InvoiceDate,PayDate,PurchasePrice,Quantity,Dollars,Classification
69_MOUNTMEND_8412,69,8412,Tequila Ocho Plata Fresno,750mL,105,ALTAMAR BRANDS LLC         ,8124,2015-12-21 00:00:00,2016-01-02 00:00:00,2016-01-04 00:00:00,2016-02-16 00:00:00,35.71,6,214.26,1
30_CULCHETH_5255,30,5255,TGI Fridays Ultimte Mudslide,1.75L,4466,AMERICAN VINTAGE BEVERAGE  ,8137,2015-12-22 00:00:00,2016-01-01 00:00:00,2016-01-07 00:00:00,2016-02-21 00:00:00,9.35,4,37.4,1
34_PITMERDEN_5215,34,5215,TGI Fridays Long Island Iced,1.75L,4466,AMERICAN VINTAGE BEVERAGE  ,8137,2015-12-22 00:00:00,2016-01-02 00:00:00,2016-01-07 00:00:00,2016-02-21 00:00:00,9.41,5,47.05,1
76_DONCASTER_2034,76,2034,Glendalough Double Barrel,750mL,388,ATLANTIC IMPORTING COMPANY ,8169,2015-12-24 00:00:00,2016-01-02 00:00:00,2016-01-09 00:00:00,2016-02-16 00:00:00,21.32,5,106.6,1
5_SUTTON_3348,5,3348,Bombay Sapphire Gin,1.75L,480,BACARDI USA INC            ,8106,2015-12-20 00:00:00,2016-01-02 00:00:00,2016-01-12 00:00:00,2016-02-05 00:00:00,22.38,6,134.28,1
1_HARDERSFIELD_8358,1,8358,Bacardi 151 Proof,750mL,480,BACARDI USA INC            ,8106,2015-12-20 00:00:00,2016-01-01 00:00:00,2016-01-12 00:00:00,2016-02-05 00:00:00,14.49,12,173.88,1
30_CULCHETH_4903,30,4903,Bacardi Superior Rum,200mL,480,BACARDI USA INC            ,8106,2015-12-20 00:00:00,2016-01-01 00:00:00,2016-01-12 00:00:00,2016-02-05 00:00:00,2.87,48,137.76,1
34_PITMERDEN_3782,34,3782,Grey Goose Le Citron Vodka,750mL,480,BACARDI USA INC            ,8106,2015-12-20 00:00:00,2016-01-02 00:00:00,2016-01-12 00:00:00,2016-02-05 00:00:00,18.89,5,94.45,1
1_HARDERSFIELD_4233,1,4233,Castillo Silver Label Rum,1.75L,480,BACARDI USA INC            ,8106,2015-12-20 00:00:00,2016-01-01 00:00:00,2016-01-12 00:00:00,2016-02-05 00:00:00,7.87,23,181.01,1
1_HARDERSFIELD_3830,1,3830,Grey Goose L'Orange Vodka,750mL,480,BACARDI USA INC            ,8106,2015-12-20 00:00:00,2016-01-01 00:00:00,2016-01-12 00:00:00,2016-02-05 00:00:00,18.45,6,110.7,1
